RECN,ID,TIME,CMT,EVID,AMT,DV,LNDV,FLAG,DGRP,ROUTE,BW,ADA,SPEC,CMPD
1015,183,0.5,2,0,0,18.803,2.934,0,0.06,1,0.02,0,4,2
1016,183,1,2,0,0,5.3475,1.6766,0,0.06,1,0.02,0,4,2
1017,183,2,2,0,0,3.8925,1.3591,0,0.06,1,0.02,0,4,2
1018,183,4,2,0,0,2.7186,1.0001,0,0.06,1,0.02,0,4,2
1019,183,24,2,0,0,0.0538,-2.9225,0,0.06,1,0.02,0,4,2
1020,183,48,2,0,0,0,0,1,0.06,1,0.02,0,4,2
1021,183,144,2,0,0,0,0,1,0.06,1,0.02,0,4,2
1022,183,240,2,0,0,0,0,1,0.06,1,0.02,0,4,2
1023,183,336,2,0,0,0,0,1,0.06,1,0.02,0,4,2
1024,184,0,1,1,30,0,0,0,30,1,3,0,2,2
1025,184,0.083,2,0,0,133.89,4.897,0,30,1,3,0,2,2
1026,184,0.5,2,0,0,201.8,5.3073,0,30,1,3,0,2,2
1027,184,1,2,0,0,86.272,4.4575,0,30,1,3,0,2,2
1028,184,2,2,0,0,56.432,4.033,0,30,1,3,0,2,2
1029,184,4,2,0,0,33.036,3.4976,0,30,1,3,0,2,2
1030,184,24,2,0,0,8.5499,2.1459,0,30,1,3,0,2,2
1031,184,48,2,0,0,5.5784,1.7189,0,30,1,3,0,2,2
1032,184,144,2,0,0,0.10994,-2.2079,0,30,1,3,0,2,2
1033,184,240,2,0,0,0,0,1,30,1,3,0,2,2
1034,184,336,2,0,0,0,0,1,30,1,3,0,2,2
1035,185,0,1,1,3,0,0,0,3,1,0.3,0,3,2
1036,185,0.083,2,0,0,147.59,4.9944,0,3,1,0.3,0,3,2
1037,185,0.5,2,0,0,149.93,5.0102,0,3,1,0.3,0,3,2
1038,185,1,2,0,0,57.178,4.0462,0,3,1,0.3,0,3,2
1039,185,2,2,0,0,23.013,3.1361,0,3,1,0.3,0,3,2
1040,185,4,2,0,0,23.935,3.1754,0,3,1,0.3,0,3,2
1041,185,24,2,0,0,2.4157,0.88198,0,3,1,0.3,0,3,2
1042,185,48,2,0,0,0.19471,-1.6363,0,3,1,0.3,0,3,2
1043,185,144,2,0,0,0,0,1,3,1,0.3,0,3,2
1044,185,240,2,0,0,0,0,1,3,1,0.3,0,3,2
1045,185,336,2,0,0,0,0,1,3,1,0.3,0,3,2
1046,186,0,1,1,0.2,0,0,0,0.2,1,0.02,0,4,2
1047,186,0.083,2,0,0,158.43,5.0653,0,0.2,1,0.02,0,4,2
1048,186,0.5,2,0,0,63.131,4.1452,0,0.2,1,0.02,0,4,2
1049,186,1,2,0,0,40.04,3.6899,0,0.2,1,0.02,0,4,2
1050,186,2,2,0,0,25.607,3.2429,0,0.2,1,0.02,0,4,2
1051,186,4,2,0,0,17.679,2.8724,0,0.2,1,0.02,0,4,2
1052,186,24,2,0,0,0.57203,-0.55857,0,0.2,1,0.02,0,4,2
1053,186,48,2,0,0,0,0,1,0.2,1,0.02,0,4,2
1054,186,144,2,0,0,0,0,1,0.2,1,0.02,0,4,2
1055,186,240,2,0,0,0,0,1,0.2,1,0.02,0,4,2
1056,186,336,2,0,0,0,0,1,0.2,1,0.02,0,4,2
1057,187,0,1,1,90,0,0,0,90,1,3,0,2,2
1058,187,0.083,2,0,0,454.98,6.1203,0,90,1,3,0,2,2
1059,187,0.5,2,0,0,343.22,5.8384,0,90,1,3,0,2,2
1060,187,1,2,0,0,162.95,5.0935,0,90,1,3,0,2,2
1061,187,2,2,0,0,130.91,4.8745,0,90,1,3,0,2,2
1062,187,4,2,0,0,54.358,3.9956,0,90,1,3,0,2,2
1063,187,24,2,0,0,11.813,2.4692,0,90,1,3,0,2,2
1064,187,48,2,0,0,2.4581,0.89939,0,90,1,3,0,2,2
1065,187,144,2,0,0,0,0,1,90,1,3,0,2,2
1066,187,240,2,0,0,0,0,1,90,1,3,0,2,2
1067,187,336,2,0,0,0,0,1,90,1,3,0,2,2
1068,188,0,1,1,9,0,0,0,9,1,0.3,0,3,2
1069,188,0.083,2,0,0,651.29,6.479,0,9,1,0.3,0,3,2
1070,188,0.5,2,0,0,227.61,5.4276,0,9,1,0.3,0,3,2
1071,188,1,2,0,0,248.72,5.5163,0,9,1,0.3,0,3,2
1072,188,2,2,0,0,117.41,4.7656,0,9,1,0.3,0,3,2
1073,188,4,2,0,0,96.958,4.5743,0,9,1,0.3,0,3,2
1074,188,24,2,0,0,8.4446,2.1335,0,9,1,0.3,0,3,2
1075,188,48,2,0,0,3.1069,1.1336,0,9,1,0.3,0,3,2
1076,188,144,2,0,0,0,0,1,9,1,0.3,0,3,2
1077,188,240,2,0,0,0,0,1,9,1,0.3,0,3,2
1078,188,336,2,0,0,0,0,1,9,1,0.3,0,3,2
1079,189,0,1,1,0.6,0,0,0,0.6,1,0.02,0,4,2
1080,189,0.083,2,0,0,621.45,6.432,0,0.6,1,0.02,0,4,2
1081,189,0.5,2,0,0,90.632,4.5068,0,0.6,1,0.02,0,4,2
1082,189,1,2,0,0,122.61,4.809,0,0.6,1,0.02,0,4,2
1083,189,2,2,0,0,107.51,4.6775,0,0.6,1,0.02,0,4,2
1084,189,4,2,0,0,52.394,3.9588,0,0.6,1,0.02,0,4,2
1085,189,24,2,0,0,1.5754,0.45453,0,0.6,1,0.02,0,4,2
1086,189,48,2,0,0,0,0,1,0.6,1,0.02,0,4,2
1087,189,144,2,0,0,0,0,1,0.6,1,0.02,0,4,2
1088,189,240,2,0,0,0,0,1,0.6,1,0.02,0,4,2
1089,189,336,2,0,0,0,0,1,0.6,1,0.02,0,4,2
1090,190,0,2,1,9,0,0,0,9,2,3,0,2,2
1091,190,0.083,2,0,0,0.16006,-1.8322,0,9,2,3,0,2,2
1092,190,0.5,2,0,0,0.95036,-0.050917,0,9,2,3,0,2,2
1093,190,1,2,0,0,1.2375,0.21312,0,9,2,3,0,2,2
1094,190,2,2,0,0,1.341,0.29341,0,9,2,3,0,2,2
1095,190,4,2,0,0,1.7544,0.5621,0,9,2,3,0,2,2
1096,190,24,2,0,0,4.6869,1.5448,0,9,2,3,0,2,2
1097,190,48,2,0,0,2.8787,1.0573,0,9,2,3,0,2,2
1098,190,144,2,0,0,0,0,1,9,2,3,0,2,2
1099,190,240,2,0,0,0,0,1,9,2,3,0,2,2
1100,190,336,2,0,0,0,0,1,9,2,3,0,2,2
1101,191,0,2,1,0.9,0,0,0,0.9,2,0.3,0,3,2
1102,191,0.083,2,0,0,0.23766,-1.4369,0,0.9,2,0.3,0,3,2
1103,191,0.5,2,0,0,0.76592,-0.26667,0,0.9,2,0.3,0,3,2
1104,191,1,2,0,0,0.79385,-0.23087,0,0.9,2,0.3,0,3,2
1105,191,2,2,0,0,0.94761,-0.053808,0,0.9,2,0.3,0,3,2
1106,191,4,2,0,0,1.4954,0.40236,0,0.9,2,0.3,0,3,2
1107,191,24,2,0,0,1.5283,0.42416,0,0.9,2,0.3,0,3,2
1108,191,48,2,0,0,0.7286,-0.31663,0,0.9,2,0.3,0,3,2
1109,191,144,2,0,0,0,0,1,0.9,2,0.3,0,3,2
1110,191,240,2,0,0,0,0,1,0.9,2,0.3,0,3,2
1111,191,336,2,0,0,0,0,1,0.9,2,0.3,0,3,2
1112,192,0,2,1,0.06,0,0,0,0.06,2,0.02,0,4,2
1113,192,0.083,2,0,0,0.18718,-1.6757,0,0.06,2,0.02,0,4,2
1114,192,0.5,2,0,0,0.6665,-0.40572,0,0.06,2,0.02,0,4,2
1115,192,1,2,0,0,0.67228,-0.39708,0,0.06,2,0.02,0,4,2
1116,192,2,2,0,0,1.1382,0.12944,0,0.06,2,0.02,0,4,2
1117,192,4,2,0,0,0.51321,-0.66708,0,0.06,2,0.02,0,4,2
1118,192,24,2,0,0,0.38372,-0.95784,0,0.06,2,0.02,0,4,2
1119,192,48,2,0,0,0.1704,-1.7696,0,0.06,2,0.02,0,4,2
1120,192,144,2,0,0,0,0,1,0.06,2,0.02,0,4,2
1121,192,240,2,0,0,0,0,1,0.06,2,0.02,0,4,2
1122,192,336,2,0,0,0,0,1,0.06,2,0.02,0,4,2
1123,193,0,2,1,30,0,0,0,30,2,3,0,2,2
1124,193,0.083,2,0,0,0.98277,-0.01738,0,30,2,3,0,2,2
1125,193,0.5,2,0,0,4.6007,1.5262,0,30,2,3,0,2,2
1126,193,1,2,0,0,6.9111,1.9331,0,30,2,3,0,2,2
1127,193,2,2,0,0,12.245,2.5051,0,30,2,3,0,2,2
1128,193,4,2,0,0,12.107,2.4938,0,30,2,3,0,2,2
1129,193,24,2,0,0,12.469,2.5233,0,30,2,3,0,2,2
1130,193,48,2,0,0,2.1223,0.75251,0,30,2,3,0,2,2
1131,193,144,2,0,0,0.088089,-2.4294,0,30,2,3,0,2,2
1132,193,240,2,0,0,0,0,1,30,2,3,0,2,2
1133,193,336,2,0,0,0,0,1,30,2,3,0,2,2
1134,194,0,2,1,3,0,0,0,3,2,0.3,0,3,2
1135,194,0.083,2,0,0,0.3299,-1.109,0,3,2,0.3,0,3,2
1136,194,0.5,2,0,0,1.7303,0.54827,0,3,2,0.3,0,3,2
1137,194,1,2,0,0,2.7663,1.0175,0,3,2,0.3,0,3,2
1138,194,2,2,0,0,2.4801,0.90829,0,3,2,0.3,0,3,2
1139,194,4,2,0,0,2.4778,0.90739,0,3,2,0.3,0,3,2
1140,194,24,2,0,0,3.7597,1.3243,0,3,2,0.3,0,3,2
1141,194,48,2,0,0,1.4236,0.35319,0,3,2,0.3,0,3,2
1142,194,144,2,0,0,0,0,1,3,2,0.3,0,3,2
1143,194,240,2,0,0,0,0,1,3,2,0.3,0,3,2
1144,194,336,2,0,0,0,0,1,3,2,0.3,0,3,2
1145,195,0,2,1,0.2,0,0,0,0.2,2,0.02,0,4,2
1146,195,0.083,2,0,0,0.52191,-0.65027,0,0.2,2,0.02,0,4,2
1147,195,0.5,2,0,0,0.8691,-0.14029,0,0.2,2,0.02,0,4,2
1148,195,1,2,0,0,2.0005,0.69339,0,0.2,2,0.02,0,4,2
1149,195,2,2,0,0,2.718,0.99991,0,0.2,2,0.02,0,4,2
1150,195,4,2,0,0,2.2065,0.79142,0,0.2,2,0.02,0,4,2
1151,195,24,2,0,0,5.3768,1.6821,0,0.2,2,0.02,0,4,2
1152,195,48,2,0,0,1.2572,0.22892,0,0.2,2,0.02,0,4,2
1153,195,144,2,0,0,0,0,1,0.2,2,0.02,0,4,2
1154,195,240,2,0,0,0,0,1,0.2,2,0.02,0,4,2
1155,195,336,2,0,0,0,0,1,0.2,2,0.02,0,4,2
1156,196,0,2,1,90,0,0,0,90,2,3,0,2,2
1157,196,0.083,2,0,0,1.7437,0.55598,0,90,2,3,0,2,2
1158,196,0.5,2,0,0,4.7414,1.5563,0,90,2,3,0,2,2
1159,196,1,2,0,0,8.6109,2.153,0,90,2,3,0,2,2
1160,196,2,2,0,0,6.3685,1.8514,0,90,2,3,0,2,2
1161,196,4,2,0,0,32.953,3.4951,0,90,2,3,0,2,2
1162,196,24,2,0,0,30.464,3.4166,0,90,2,3,0,2,2
1163,196,48,2,0,0,11.248,2.4202,0,90,2,3,0,2,2
1164,196,144,2,0,0,1.1404,0.13141,0,90,2,3,0,2,2
1165,196,240,2,0,0,0.053134,-2.9349,0,90,2,3,0,2,2
1166,196,336,2,0,0,0,0,1,90,2,3,0,2,2
1167,197,0,2,1,9,0,0,0,9,2,0.3,0,3,2
1168,197,0.083,2,0,0,1.2644,0.2346,0,9,2,0.3,0,3,2
1169,197,0.5,2,0,0,6.6274,1.8912,0,9,2,0.3,0,3,2
1170,197,1,2,0,0,9.3429,2.2346,0,9,2,0.3,0,3,2
1171,197,2,2,0,0,10.887,2.3876,0,9,2,0.3,0,3,2
1172,197,4,2,0,0,9.3349,2.2338,0,9,2,0.3,0,3,2
1173,197,24,2,0,0,6.8234,1.9204,0,9,2,0.3,0,3,2
1174,197,48,2,0,0,5.1036,1.63,0,9,2,0.3,0,3,2
1175,197,144,2,0,0,0.14664,-1.9198,0,9,2,0.3,0,3,2
1176,197,240,2,0,0,0,0,1,9,2,0.3,0,3,2
1177,197,336,2,0,0,0,0,1,9,2,0.3,0,3,2
1178,198,0,2,1,0.6,0,0,0,0.6,2,0.02,0,4,2
1179,198,0.083,2,0,0,1.4966,0.40318,0,0.6,2,0.02,0,4,2
1180,198,0.5,2,0,0,11.066,2.4039,0,0.6,2,0.02,0,4,2
1181,198,1,2,0,0,8.4341,2.1323,0,0.6,2,0.02,0,4,2
1182,198,2,2,0,0,15.412,2.7351,0,0.6,2,0.02,0,4,2
1183,198,4,2,0,0,18.613,2.9239,0,0.6,2,0.02,0,4,2
1184,198,24,2,0,0,7.0587,1.9543,0,0.6,2,0.02,0,4,2
1185,198,48,2,0,0,1.9899,0.68806,0,0.6,2,0.02,0,4,2
1186,198,144,2,0,0,0,0,1,0.6,2,0.02,0,4,2
1187,198,240,2,0,0,0,0,1,0.6,2,0.02,0,4,2
1188,198,336,2,0,0,0,0,1,0.6,2,0.02,0,4,2
1189,217,0,1,1,9,0,0,0,9,1,3,0,2,1
1190,217,0.083,2,0,0,29.052,3.3691,0,9,1,3,0,2,1
1191,217,0.5,2,0,0,36.277,3.5912,0,9,1,3,0,2,1
1192,217,1,2,0,0,23.303,3.1486,0,9,1,3,0,2,1
1193,217,2,2,0,0,41.782,3.7325,0,9,1,3,0,2,1
1194,217,4,2,0,0,37.942,3.6361,0,9,1,3,0,2,1
1195,217,24,2,0,0,28.358,3.3449,0,9,1,3,0,2,1
1196,217,48,2,0,0,12.267,2.5069,0,9,1,3,0,2,1
1197,217,144,2,0,0,0,0,1,9,1,3,0,2,1
1198,217,240,2,0,0,0,0,1,9,1,3,0,2,1
1199,217,336,2,0,0,0,0,1,9,1,3,0,2,1
1200,218,0,1,1,0.9,0,0,0,0.9,1,0.3,0,3,1
1201,218,0.083,2,0,0,134.46,4.9013,0,0.9,1,0.3,0,3,1
1202,218,0.5,2,0,0,93.566,4.5387,0,0.9,1,0.3,0,3,1
1203,218,1,2,0,0,61.443,4.1181,0,0.9,1,0.3,0,3,1
1204,218,2,2,0,0,60.05,4.0952,0,0.9,1,0.3,0,3,1
1205,218,4,2,0,0,44.169,3.788,0,0.9,1,0.3,0,3,1
1206,218,24,2,0,0,39.409,3.674,0,0.9,1,0.3,0,3,1
1207,218,48,2,0,0,40.387,3.6985,0,0.9,1,0.3,0,3,1
1208,218,144,2,0,0,11.2,2.4159,0,0.9,1,0.3,0,3,1
1209,218,240,2,0,0,10.597,2.3605,0,0.9,1,0.3,0,3,1
1210,218,336,2,0,0,13.244,2.5835,0,0.9,1,0.3,0,3,1
1211,219,0,1,1,0.06,0,0,0,0.06,1,0.02,0,4,1
1212,219,0.083,2,0,0,70.595,4.257,0,0.06,1,0.02,0,4,1
1213,219,0.5,2,0,0,89.298,4.492,0,0.06,1,0.02,0,4,1
1214,219,1,2,0,0,70.634,4.2575,0,0.06,1,0.02,0,4,1
1215,219,2,2,0,0,89.389,4.493,0,0.06,1,0.02,0,4,1
1216,219,4,2,0,0,73.632,4.2991,0,0.06,1,0.02,0,4,1
1217,219,24,2,0,0,24.989,3.2185,0,0.06,1,0.02,0,4,1
1218,219,48,2,0,0,12.551,2.5298,0,0.06,1,0.02,0,4,1
1219,219,144,2,0,0,2.1683,0.77392,0,0.06,1,0.02,0,4,1
1220,219,240,2,0,0,0.18557,-1.6843,0,0.06,1,0.02,0,4,1
1221,219,336,2,0,0,0.23263,-1.4583,0,0.06,1,0.02,0,4,1
1222,220,0,1,1,30,0,0,0,30,1,3,0,2,1
1223,220,0.083,2,0,0,121.62,4.8009,0,30,1,3,0,2,1
1224,220,0.5,2,0,0,181.5,5.2012,0,30,1,3,0,2,1
1225,220,1,2,0,0,146.59,4.9876,0,30,1,3,0,2,1
1226,220,2,2,0,0,134.23,4.8996,0,30,1,3,0,2,1
1227,220,4,2,0,0,167.53,5.1212,0,30,1,3,0,2,1
1228,220,24,2,0,0,121.53,4.8001,0,30,1,3,0,2,1
1229,220,48,2,0,0,87.363,4.4701,0,30,1,3,0,2,1
1230,220,144,2,0,0,13.449,2.5989,0,30,1,3,0,2,1
1231,220,240,2,0,0,0,0,1,30,1,3,0,2,1
1232,220,336,2,0,0,0,0,1,30,1,3,0,2,1
1233,221,0,1,1,3,0,0,0,3,1,0.3,1,3,1
1234,221,0.083,2,0,0,168.16,5.1249,0,3,1,0.3,1,3,1
1235,221,0.5,2,0,0,158.34,5.0648,0,3,1,0.3,1,3,1
1236,221,1,2,0,0,192.03,5.2576,0,3,1,0.3,1,3,1
1237,221,2,2,0,0,297.21,5.6944,0,3,1,0.3,1,3,1
1238,221,4,2,0,0,129.33,4.8624,0,3,1,0.3,1,3,1
1239,221,24,2,0,0,122.04,4.8044,0,3,1,0.3,1,3,1
1240,221,48,2,0,0,104.45,4.6487,0,3,1,0.3,1,3,1
1241,221,144,2,0,0,0.50697,-0.6793,0,3,1,0.3,1,3,1
1242,221,240,2,0,0,0,0,1,3,1,0.3,1,3,1
1243,221,336,2,0,0,0,0,1,3,1,0.3,1,3,1
1244,222,0,1,1,0.2,0,0,0,0.2,1,0.02,0,4,1
1245,222,0.083,2,0,0,217.54,5.3824,0,0.2,1,0.02,0,4,1
1246,222,0.5,2,0,0,163.68,5.0979,0,0.2,1,0.02,0,4,1
1247,222,1,2,0,0,187.83,5.2355,0,0.2,1,0.02,0,4,1
1248,222,2,2,0,0,219.78,5.3926,0,0.2,1,0.02,0,4,1
1249,222,4,2,0,0,14.665,2.6855,0,0.2,1,0.02,0,4,1
1250,222,24,2,0,0,91.587,4.5173,0,0.2,1,0.02,0,4,1
1251,222,48,2,0,0,46.391,3.8371,0,0.2,1,0.02,0,4,1
1252,222,144,2,0,0,26.464,3.2758,0,0.2,1,0.02,0,4,1
1253,222,240,2,0,0,7.3972,2.0011,0,0.2,1,0.02,0,4,1
1254,222,336,2,0,0,3.2134,1.1673,0,0.2,1,0.02,0,4,1
1255,223,0,1,1,90,0,0,0,90,1,3,0,2,1
1256,223,0.083,2,0,0,611.18,6.4154,0,90,1,3,0,2,1
1257,223,0.5,2,0,0,723.03,6.5834,0,90,1,3,0,2,1
1258,223,1,2,0,0,348.54,5.8537,0,90,1,3,0,2,1
1259,223,2,2,0,0,715.6,6.5731,0,90,1,3,0,2,1
1260,223,4,2,0,0,967.22,6.8744,0,90,1,3,0,2,1
1261,223,24,2,0,0,528.17,6.2694,0,90,1,3,0,2,1
1262,223,48,2,0,0,404.01,6.0014,0,90,1,3,0,2,1
1263,223,144,2,0,0,155.16,5.0445,0,90,1,3,0,2,1
1264,223,240,2,0,0,45.895,3.8264,0,90,1,3,0,2,1
1265,223,336,2,0,0,29.642,3.3892,0,90,1,3,0,2,1
1266,224,0,1,1,9,0,0,0,9,1,0.3,0,3,1
1267,224,0.083,2,0,0,469.49,6.1517,0,9,1,0.3,0,3,1
1268,224,0.5,2,0,0,411.7,6.0203,0,9,1,0.3,0,3,1
1269,224,1,2,0,0,293.85,5.6831,0,9,1,0.3,0,3,1
1270,224,2,2,0,0,433.78,6.0725,0,9,1,0.3,0,3,1
1271,224,4,2,0,0,491.73,6.1979,0,9,1,0.3,0,3,1
1272,224,24,2,0,0,337.74,5.8223,0,9,1,0.3,0,3,1
1273,224,48,2,0,0,231.74,5.4456,0,9,1,0.3,0,3,1
1274,224,144,2,0,0,91.506,4.5164,0,9,1,0.3,0,3,1
1275,224,240,2,0,0,65.663,4.1845,0,9,1,0.3,0,3,1
1276,224,336,2,0,0,43.54,3.7737,0,9,1,0.3,0,3,1
1277,225,0,1,1,0.6,0,0,0,0.6,1,0.02,1,4,1
1278,225,0.083,2,0,0,598.17,6.3939,0,0.6,1,0.02,1,4,1
1279,225,0.5,2,0,0,744.09,6.6122,0,0.6,1,0.02,1,4,1
1280,225,1,2,0,0,635.1,6.4538,0,0.6,1,0.02,1,4,1
1281,225,2,2,0,0,250.17,5.5221,0,0.6,1,0.02,1,4,1
1282,225,4,2,0,0,535.12,6.2825,0,0.6,1,0.02,1,4,1
1283,225,24,2,0,0,299.86,5.7033,0,0.6,1,0.02,1,4,1
1284,225,48,2,0,0,211.52,5.3543,0,0.6,1,0.02,1,4,1
1285,225,144,2,0,0,0.14374,-1.9398,0,0.6,1,0.02,1,4,1
1286,225,240,2,0,0,0,0,1,0.6,1,0.02,1,4,1
1287,225,336,2,0,0,0,0,1,0.6,1,0.02,1,4,1
1288,226,0,2,1,9,0,0,0,9,2,3,0,2,1
1289,226,0.083,2,0,0,0.20201,-1.5994,0,9,2,3,0,2,1
1290,226,0.5,2,0,0,0.6846,-0.37892,0,9,2,3,0,2,1
1291,226,1,2,0,0,2.3089,0.83678,0,9,2,3,0,2,1
1292,226,2,2,0,0,4.8679,1.5827,0,9,2,3,0,2,1
1293,226,4,2,0,0,7.6512,2.0349,0,9,2,3,0,2,1
1294,226,24,2,0,0,1.6534,0.50286,0,9,2,3,0,2,1
1295,226,48,2,0,0,0,0,1,9,2,3,0,2,1
1296,226,144,2,0,0,0,0,1,9,2,3,0,2,1
1297,226,240,2,0,0,0,0,1,9,2,3,0,2,1
1298,226,336,2,0,0,0,0,1,9,2,3,0,2,1
1299,227,0,2,1,0.9,0,0,0,0.9,2,0.3,1,3,1
1300,227,0.083,2,0,0,0.45185,-0.7944,0,0.9,2,0.3,1,3,1
1301,227,0.5,2,0,0,3.5161,1.2574,0,0.9,2,0.3,1,3,1
1302,227,1,2,0,0,7.7831,2.052,0,0.9,2,0.3,1,3,1
1303,227,2,2,0,0,12.463,2.5228,0,0.9,2,0.3,1,3,1
1304,227,4,2,0,0,19.153,2.9524,0,0.9,2,0.3,1,3,1
1305,227,24,2,0,0,22.188,3.0996,0,0.9,2,0.3,1,3,1
1306,227,48,2,0,0,12.509,2.5265,0,0.9,2,0.3,1,3,1
1307,227,144,2,0,0,0.12181,-2.1053,0,0.9,2,0.3,1,3,1
1308,227,240,2,0,0,0,0,1,0.9,2,0.3,1,3,1
1309,227,336,2,0,0,0,0,1,0.9,2,0.3,1,3,1
1310,228,0,2,1,0.06,0,0,0,0.06,2,0.02,0,4,1
1311,228,0.083,2,0,0,0.43552,-0.83122,0,0.06,2,0.02,0,4,1
1312,228,0.5,2,0,0,1.6391,0.49416,0,0.06,2,0.02,0,4,1
1313,228,1,2,0,0,4.6114,1.5285,0,0.06,2,0.02,0,4,1
1314,228,2,2,0,0,2.2638,0.81705,0,0.06,2,0.02,0,4,1
1315,228,4,2,0,0,9.9429,2.2969,0,0.06,2,0.02,0,4,1
1316,228,24,2,0,0,25.045,3.2207,0,0.06,2,0.02,0,4,1
1317,228,48,2,0,0,21.58,3.0718,0,0.06,2,0.02,0,4,1
1318,228,144,2,0,0,10.618,2.3626,0,0.06,2,0.02,0,4,1
1319,228,240,2,0,0,5.2012,1.6489,0,0.06,2,0.02,0,4,1
1320,228,336,2,0,0,3.0378,1.1111,0,0.06,2,0.02,0,4,1
1321,229,0,2,1,30,0,0,0,30,2,3,0,2,1
1322,229,0.083,2,0,0,2.884,1.0592,0,30,2,3,0,2,1
1323,229,0.5,2,0,0,8.6619,2.1589,0,30,2,3,0,2,1
1324,229,1,2,0,0,31.053,3.4357,0,30,2,3,0,2,1
1325,229,2,2,0,0,56.535,4.0349,0,30,2,3,0,2,1
1326,229,4,2,0,0,86.275,4.4575,0,30,2,3,0,2,1
1327,229,24,2,0,0,106.68,4.6698,0,30,2,3,0,2,1
1328,229,48,2,0,0,73.348,4.2952,0,30,2,3,0,2,1
1329,229,144,2,0,0,0,0,1,30,2,3,0,2,1
1330,229,240,2,0,0,0,0,1,30,2,3,0,2,1
1331,229,336,2,0,0,0,0,1,30,2,3,0,2,1
1332,230,0,2,1,3,0,0,0,3,2,0.3,1,3,1
1333,230,0.083,2,0,0,0.96238,-0.038341,0,3,2,0.3,1,3,1
1334,230,0.5,2,0,0,8.8239,2.1775,0,3,2,0.3,1,3,1
1335,230,1,2,0,0,14.503,2.6744,0,3,2,0.3,1,3,1
1336,230,2,2,0,0,13.636,2.6127,0,3,2,0.3,1,3,1
1337,230,4,2,0,0,47.857,3.8682,0,3,2,0.3,1,3,1
1338,230,24,2,0,0,99.576,4.6009,0,3,2,0.3,1,3,1
1339,230,48,2,0,0,17.892,2.8843,0,3,2,0.3,1,3,1
1340,230,144,2,0,0,0.18782,-1.6723,0,3,2,0.3,1,3,1
1341,230,240,2,0,0,0,0,1,3,2,0.3,1,3,1
1342,230,336,2,0,0,0,0,1,3,2,0.3,1,3,1
1343,231,0,2,1,0.2,0,0,0,0.2,2,0.02,0,4,1
1344,231,0.083,2,0,0,0.87461,-0.13398,0,0.2,2,0.02,0,4,1
1345,231,0.5,2,0,0,3.7072,1.3103,0,0.2,2,0.02,0,4,1
1346,231,1,2,0,0,7.1629,1.9689,0,0.2,2,0.02,0,4,1
1347,231,2,2,0,0,9.9487,2.2974,0,0.2,2,0.02,0,4,1
1348,231,4,2,0,0,30.511,3.4181,0,0.2,2,0.02,0,4,1
1349,231,24,2,0,0,67.082,4.2059,0,0.2,2,0.02,0,4,1
1350,231,48,2,0,0,62.161,4.1297,0,0.2,2,0.02,0,4,1
1351,231,144,2,0,0,25.632,3.2439,0,0.2,2,0.02,0,4,1
1352,231,240,2,0,0,10.926,2.3912,0,0.2,2,0.02,0,4,1
1353,231,336,2,0,0,8.9922,2.1964,0,0.2,2,0.02,0,4,1
1354,232,0,2,1,90,0,0,0,90,2,3,0,2,1
1355,232,0.083,2,0,0,5.2451,1.6573,0,90,2,3,0,2,1
1356,232,0.5,2,0,0,36.413,3.5949,0,90,2,3,0,2,1
1357,232,1,2,0,0,94.284,4.5463,0,90,2,3,0,2,1
1358,232,2,2,0,0,43.842,3.7806,0,90,2,3,0,2,1
1359,232,4,2,0,0,83.901,4.4296,0,90,2,3,0,2,1
1360,232,24,2,0,0,324.26,5.7815,0,90,2,3,0,2,1
1361,232,48,2,0,0,405.27,6.0046,0,90,2,3,0,2,1
1362,232,144,2,0,0,173.26,5.1548,0,90,2,3,0,2,1
1363,232,240,2,0,0,94.907,4.5529,0,90,2,3,0,2,1
1364,232,336,2,0,0,50.025,3.9125,0,90,2,3,0,2,1
1365,233,0,2,1,9,0,0,0,9,2,0.3,0,3,1
1366,233,0.083,2,0,0,5.6732,1.7358,0,9,2,0.3,0,3,1
1367,233,0.5,2,0,0,36.024,3.5842,0,9,2,0.3,0,3,1
1368,233,1,2,0,0,61.988,4.1269,0,9,2,0.3,0,3,1
1369,233,2,2,0,0,104.03,4.6447,0,9,2,0.3,0,3,1
1370,233,4,2,0,0,274.25,5.614,0,9,2,0.3,0,3,1
1371,233,24,2,0,0,259.54,5.5589,0,9,2,0.3,0,3,1
1372,233,48,2,0,0,235.28,5.4608,0,9,2,0.3,0,3,1
1373,233,144,2,0,0,107.06,4.6734,0,9,2,0.3,0,3,1
1374,233,240,2,0,0,74.745,4.3141,0,9,2,0.3,0,3,1
1375,233,336,2,0,0,37.723,3.6303,0,9,2,0.3,0,3,1
1376,234,0,2,1,0.6,0,0,0,0.6,2,0.02,1,4,1
1377,234,0.083,2,0,0,5.6673,1.7347,0,0.6,2,0.02,1,4,1
1378,234,0.5,2,0,0,24.706,3.2071,0,0.6,2,0.02,1,4,1
1379,234,1,2,0,0,62.777,4.1396,0,0.6,2,0.02,1,4,1
1380,234,2,2,0,0,163.92,5.0994,0,0.6,2,0.02,1,4,1
1381,234,4,2,0,0,194.37,5.2698,0,0.6,2,0.02,1,4,1
1382,234,24,2,0,0,197.09,5.2837,0,0.6,2,0.02,1,4,1
1383,234,48,2,0,0,160.4,5.0777,0,0.6,2,0.02,1,4,1
1384,234,144,2,0,0,0.051264,-2.9708,0,0.6,2,0.02,1,4,1
